Label,Id,category
Anne Bancroft,Anne Bancroft,ACTRESS
Anne Bancroft,Anne Bancroft,ACTRESS
Anne Bancroft,Anne Bancroft,ACTRESS
Anne Bancroft,Anne Bancroft,ACTRESS
Anne Bancroft,Anne Bancroft,ACTRESS
Anne Baxter,Anne Baxter,ACTRESS IN A SUPPORTING ROLE
Anne Baxter,Anne Baxter,ACTRESS
Anne Hathaway,Anne Hathaway,ACTRESS IN A SUPPORTING ROLE
Anne Hathaway,Anne Hathaway,ACTRESS
Anne Ramsey,Anne Ramsey,ACTRESS IN A SUPPORTING ROLE
Anne Revere,Anne Revere,ACTRESS IN A SUPPORTING ROLE
Anne Revere,Anne Revere,ACTRESS IN A SUPPORTING ROLE
Anne Revere,Anne Revere,ACTRESS IN A SUPPORTING ROLE
Anne Shirley,Anne Shirley,ACTRESS IN A SUPPORTING ROLE
Annette Bening,Annette Bening,ACTRESS IN A SUPPORTING ROLE
Annette Bening,Annette Bening,ACTRESS
Annette Bening,Annette Bening,ACTRESS
Annette Bening,Annette Bening,ACTRESS
Anouk Aimee,Anouk Aimee,ACTRESS
Anthony Franciosa,Anthony Franciosa,ACTOR
Anthony Harvey,Anthony Harvey,DIRECTING
Anthony Hopkins,Anthony Hopkins,ACTOR
Anthony Hopkins,Anthony Hopkins,ACTOR
Anthony Hopkins,Anthony Hopkins,ACTOR
Anthony Hopkins,Anthony Hopkins,ACTOR IN A SUPPORTING ROLE
Anthony Hopkins,Anthony Hopkins,ACTOR IN A SUPPORTING ROLE
Anthony Minghella,Anthony Minghella,DIRECTING
Anthony Perkins,Anthony Perkins,ACTOR IN A SUPPORTING ROLE
Anthony Quayle,Anthony Quayle,ACTOR IN A SUPPORTING ROLE
Anthony Quinn,Anthony Quinn,ACTOR
Anthony Quinn,Anthony Quinn,ACTOR IN A SUPPORTING ROLE
Anthony Quinn,Anthony Quinn,ACTOR
Anthony Quinn,Anthony Quinn,ACTOR IN A SUPPORTING ROLE
Antonio Banderas,Antonio Banderas,ACTOR
Armin Mueller-Stahl,Armin Mueller-Stahl,ACTOR IN A SUPPORTING ROLE
Art Carney,Art Carney,ACTOR
Arthur Hiller,Arthur Hiller,DIRECTING
Arthur Hunnicutt,Arthur Hunnicutt,ACTOR IN A SUPPORTING ROLE
Arthur Kennedy,Arthur Kennedy,ACTOR IN A SUPPORTING ROLE
Arthur Kennedy,Arthur Kennedy,ACTOR IN A SUPPORTING ROLE
Arthur Kennedy,Arthur Kennedy,ACTOR IN A SUPPORTING ROLE
Arthur Kennedy,Arthur Kennedy,ACTOR
Arthur Kennedy,Arthur Kennedy,ACTOR IN A SUPPORTING ROLE
Arthur O'Connell,Arthur O'Connell,ACTOR IN A SUPPORTING ROLE
Arthur O'Connell,Arthur O'Connell,ACTOR IN A SUPPORTING ROLE
Arthur Penn,Arthur Penn,DIRECTING
Arthur Penn,Arthur Penn,DIRECTING
Arthur Penn,Arthur Penn,DIRECTING
Atom Egoyan,Atom Egoyan,DIRECTING
Audrey Hepburn,Audrey Hepburn,ACTRESS
Audrey Hepburn,Audrey Hepburn,ACTRESS
Audrey Hepburn,Audrey Hepburn,ACTRESS
Audrey Hepburn,Audrey Hepburn,ACTRESS
Audrey Hepburn,Audrey Hepburn,ACTRESS
Ava Gardner,Ava Gardner,ACTRESS
Barbara Barrie,Barbara Barrie,ACTRESS IN A SUPPORTING ROLE
Barbara Bel Geddes,Barbara Bel Geddes,ACTRESS IN A SUPPORTING ROLE
Barbara Harris,Barbara Harris,ACTRESS IN A SUPPORTING ROLE
Barbara Hershey,Barbara Hershey,ACTRESS IN A SUPPORTING ROLE
Barbara O'Neil,Barbara O'Neil,ACTRESS IN A SUPPORTING ROLE
Barbara Stanwyck,Barbara Stanwyck,ACTRESS
Barbara Stanwyck,Barbara Stanwyck,ACTRESS
Barbara Stanwyck,Barbara Stanwyck,ACTRESS
Barbara Stanwyck,Barbara Stanwyck,ACTRESS
Barbet Schroeder,Barbet Schroeder,DIRECTING
Barbra Streisand,Barbra Streisand,ACTRESS
Barbra Streisand,Barbra Streisand,ACTRESS
Barkhad Abdi,Barkhad Abdi,ACTOR IN A SUPPORTING ROLE
Barry Fitzgerald,Barry Fitzgerald,ACTOR
Barry Fitzgerald,Barry Fitzgerald,ACTOR IN A SUPPORTING ROLE
Barry Jenkins,Barry Jenkins,DIRECTING
Barry Levinson,Barry Levinson,DIRECTING
Barry Levinson,Barry Levinson,DIRECTING
Basil Rathbone,Basil Rathbone,ACTOR IN A SUPPORTING ROLE
Basil Rathbone,Basil Rathbone,ACTOR IN A SUPPORTING ROLE
Beah Richards,Beah Richards,ACTRESS IN A SUPPORTING ROLE
Beatrice Straight,Beatrice Straight,ACTRESS IN A SUPPORTING ROLE
Ben Johnson,Ben Johnson,ACTOR IN A SUPPORTING ROLE
Ben Kingsley,Ben Kingsley,ACTOR IN A SUPPORTING ROLE
Ben Kingsley,Ben Kingsley,ACTOR
Ben Kingsley,Ben Kingsley,ACTOR
Ben Kingsley,Ben Kingsley,ACTOR IN A SUPPORTING ROLE
Benedict Cumberbatch,Benedict Cumberbatch,ACTOR
Benh Zeitlin,Benh Zeitlin,DIRECTING
Benicio Del Toro,Benicio Del Toro,ACTOR IN A SUPPORTING ROLE
Benicio Del Toro,Benicio Del Toro,ACTOR IN A SUPPORTING ROLE
Bennett Miller,Bennett Miller,DIRECTING
Bennett Miller,Bennett Miller,DIRECTING
