Label,Id,category
 Gary Cooper for his many memorable screen performances and the international recognition he, Gary Cooper for his many memorable screen performances and the international recognition he,HONORARY AWARD
 Gate of Hell - Best Foreign Language Film first released in the United States during 1954., Gate of Hell - Best Foreign Language Film first released in the United States during 1954.,HONORARY FOREIGN LANGUAGE FILM AWARD
 Gena Rowlands, Gena Rowlands,HONORARY AWARD
 Gene Kelly in appreciation of his versatility as an actor, Gene Kelly in appreciation of his versatility as an actor,HONORARY AWARD
 George Alfred Mitchell for the design and development of the camera which bears his name and for his continued and dominant presence in the field of cinematography., George Alfred Mitchell for the design and development of the camera which bears his name and for his continued and dominant presence in the field of cinematography.,HONORARY AWARD
 George Murphy for his services in interpreting the film industry to the country at large., George Murphy for his services in interpreting the film industry to the country at large.,HONORARY AWARD
 George Pal for the development of novel methods and techniques in the production of short subjects known as Puppetoons., George Pal for the development of novel methods and techniques in the production of short subjects known as Puppetoons.,SPECIAL AWARD
 George Stevens, George Stevens,HONORARY AWARD
" Gilbert M. (""Broncho Billy"") Anderson"," Gilbert M. (""Broncho Billy"") Anderson",HONORARY AWARD
 Gordon Willis for unsurpassed mastery of light, Gordon Willis for unsurpassed mastery of light,HONORARY AWARD
 Greta Garbo for her unforgettable screen performances., Greta Garbo for her unforgettable screen performances.,HONORARY AWARD
 Groucho Marx in recognition of his brilliant creativity and for the unequalled achievements of the Marx Brothers in the art of motion picture comedy., Groucho Marx in recognition of his brilliant creativity and for the unequalled achievements of the Marx Brothers in the art of motion picture comedy.,HONORARY AWARD
 Hal Elias for his dedication and distinguished service to the Academy of Motion Picture Arts and Sciences., Hal Elias for his dedication and distinguished service to the Academy of Motion Picture Arts and Sciences.,HONORARY AWARD
 Hal Needham, Hal Needham,HONORARY AWARD
 Hal Roach, Hal Roach,HONORARY AWARD
 Harold Lloyd, Harold Lloyd,HONORARY AWARD
 Harold Russell for bringing hope and courage to his fellow veterans through his appearance in The Best Years of Our Lives., Harold Russell for bringing hope and courage to his fellow veterans through his appearance in The Best Years of Our Lives.,SPECIAL AWARD
 Harry M. Warner in recognition of patriotic service in the production of historical short subjects presenting significant episodes in the early struggle of the American people for liberty., Harry M. Warner in recognition of patriotic service in the production of historical short subjects presenting significant episodes in the early struggle of the American people for liberty.,SPECIAL AWARD
 Hayao Miyazaki, Hayao Miyazaki,HONORARY AWARD
 Hayley Mills for Pollyanna, Hayley Mills for Pollyanna,HONORARY AWARD
 Henri Langlois for his devotion to the art of film, Henri Langlois for his devotion to the art of film,HONORARY AWARD
 Henry Fonda, Henry Fonda,HONORARY AWARD
 Howard Hawks - A master American filmmaker whose creative efforts hold a distinguished place in world cinema., Howard Hawks - A master American filmmaker whose creative efforts hold a distinguished place in world cinema.,HONORARY AWARD
 Ivan Jandl, Ivan Jandl,SPECIAL AWARD
 J. Arthur Ball for his outstanding contributions to the advancement of color in Motion Picture Photography., J. Arthur Ball for his outstanding contributions to the advancement of color in Motion Picture Photography.,SPECIAL AWARD
 Jack Cardiff, Jack Cardiff,HONORARY AWARD
 Jackie Chan, Jackie Chan,HONORARY AWARD
 James Baskett for his able and heart-warming characterization of Uncle Remus, James Baskett for his able and heart-warming characterization of Uncle Remus,SPECIAL AWARD
 James Earl Jones for his legacy of consistent excellence and uncommon versatility., James Earl Jones for his legacy of consistent excellence and uncommon versatility.,HONORARY AWARD
 James Stewart, James Stewart,HONORARY AWARD
 Jean Hersholt, Jean Hersholt,SPECIAL AWARD
 Jean Hersholt - in recognition of his service to the Academy during four terms as president., Jean Hersholt - in recognition of his service to the Academy during four terms as president.,SPECIAL AWARD
 Jean Renoir - a genius who, Jean Renoir - a genius who,HONORARY AWARD
 Jean-Claude Carrière, Jean-Claude Carrière,HONORARY AWARD
 Jean-Luc Godard for passion. For confrontation. For a new kind of cinema., Jean-Luc Godard for passion. For confrontation. For a new kind of cinema.,HONORARY AWARD
 Jerome Robbins for his brilliant achievements in the art of choreography on film., Jerome Robbins for his brilliant achievements in the art of choreography on film.,HONORARY AWARD
 John Chambers for his outstanding makeup achievement for Planet of the Apes., John Chambers for his outstanding makeup achievement for Planet of the Apes.,HONORARY AWARD
 John Lasseter, John Lasseter,SPECIAL ACHIEVEMENT AWARD
 Jon Whiteley for his outstanding juvenile performance in The Little Kidnappers., Jon Whiteley for his outstanding juvenile performance in The Little Kidnappers.,HONORARY AWARD
 Joseph I. Breen for his conscientious, Joseph I. Breen for his conscientious,HONORARY AWARD
 Joseph M. Schenck for long and distinguished service to the motion picture industry., Joseph M. Schenck for long and distinguished service to the motion picture industry.,HONORARY AWARD
 Judy Garland for her outstanding performance as a screen juvenile during the past year., Judy Garland for her outstanding performance as a screen juvenile during the past year.,SPECIAL AWARD
 Kemp R. Niver for the development of the Renovare Process which has made possible the restoration of the Library of Congress Paper Film Collection., Kemp R. Niver for the development of the Renovare Process which has made possible the restoration of the Library of Congress Paper Film Collection.,HONORARY AWARD
 Kevin Brownlow for the wise and devoted chronicling of the cinematic parade., Kevin Brownlow for the wise and devoted chronicling of the cinematic parade.,HONORARY AWARD
 King Vidor for his incomparable achievements as a cinematic creator and innovator., King Vidor for his incomparable achievements as a cinematic creator and innovator.,HONORARY AWARD
 Kirk Douglas, Kirk Douglas,HONORARY AWARD
 Lalo Schifrin, Lalo Schifrin,HONORARY AWARD
 Lauren Bacall in recognition of her central place in the golden age of motion pictures., Lauren Bacall in recognition of her central place in the golden age of motion pictures.,HONORARY AWARD
 Laurence Olivier for his outstanding achievement as actor, Laurence Olivier for his outstanding achievement as actor,SPECIAL AWARD
 Laurence Olivier for the full body of his work, Laurence Olivier for the full body of his work,HONORARY AWARD
 Lee De Forest for his pioneering inventions which brought sound to the motion picture., Lee De Forest for his pioneering inventions which brought sound to the motion picture.,HONORARY AWARD
 Leopold Stokowski and his associates for their unique achievement in the creation of a new form of visualized music in Walt Disney's production, Leopold Stokowski and his associates for their unique achievement in the creation of a new form of visualized music in Walt Disney's production,SPECIAL AWARD
 Lillian Gish for superlative artistry and for distinguished contribution to the progress of motion pictures., Lillian Gish for superlative artistry and for distinguished contribution to the progress of motion pictures.,HONORARY AWARD
 Lina Wertmüller, Lina Wertmüller,HONORARY AWARD
 Louis B. Mayer for distinguished service to the motion picture industry., Louis B. Mayer for distinguished service to the motion picture industry.,HONORARY AWARD
 Lynn Stalmaster, Lynn Stalmaster,HONORARY AWARD
 Mack Sennett, Mack Sennett,SPECIAL AWARD
 Margaret Booth for her exceptional contribution to the art of film editing in the motion picture industry., Margaret Booth for her exceptional contribution to the art of film editing in the motion picture industry.,HONORARY AWARD
 Margaret O'Brien, Margaret O'Brien,SPECIAL AWARD
 Marvin Levy, Marvin Levy,HONORARY AWARD
 Mary Pickford in recognition of her unique contributions to the film industry and the development of film as an artistic medium., Mary Pickford in recognition of her unique contributions to the film industry and the development of film as an artistic medium.,HONORARY AWARD
 Maureen O'Hara, Maureen O'Hara,HONORARY AWARD
 Maurice Chevalier for his contributions to the world of entertainment for more than half a century., Maurice Chevalier for his contributions to the world of entertainment for more than half a century.,HONORARY AWARD
 Merian C. Cooper for his many innovations and contributions to the art of motion pictures., Merian C. Cooper for his many innovations and contributions to the art of motion pictures.,HONORARY AWARD
" Metro-Goldwyn-Mayer for its achievement in representing the American Way of Life in the production of the ""Andy Hardy"" series of films."," Metro-Goldwyn-Mayer for its achievement in representing the American Way of Life in the production of the ""Andy Hardy"" series of films.",SPECIAL AWARD
 Michael Kidd in recognition of his services to the art of the dance in the art of the screen., Michael Kidd in recognition of his services to the art of the dance in the art of the screen.,HONORARY AWARD
 Michelangelo Antonioni in recognition of his place as one of the cinema's master visual stylists., Michelangelo Antonioni in recognition of his place as one of the cinema's master visual stylists.,HONORARY AWARD
 Mickey Rooney, Mickey Rooney,HONORARY AWARD
 Monsieur Vincent - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1948., Monsieur Vincent - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1948.,SPECIAL FOREIGN LANGUAGE FILM AWARD
 Myrna Loy, Myrna Loy,HONORARY AWARD
 Noel Coward for his outstanding production achievement in In Which We Serve., Noel Coward for his outstanding production achievement in In Which We Serve.,SPECIAL AWARD
 Oliver Marsh and Allen Davey for the color cinematography of the Metro-Goldwyn-Mayer production, Oliver Marsh and Allen Davey for the color cinematography of the Metro-Goldwyn-Mayer production,SPECIAL AWARD
 Onna White for her outstanding choreography achievement for Oliver!, Onna White for her outstanding choreography achievement for Oliver!,HONORARY AWARD
 Orson Welles for superlative artistry and versatility in the creation of motion pictures., Orson Welles for superlative artistry and versatility in the creation of motion pictures.,HONORARY AWARD
 Owen Roizman, Owen Roizman,HONORARY AWARD
 Paul Newman, Paul Newman,HONORARY AWARD
 Peggy Ann Garner, Peggy Ann Garner,SPECIAL AWARD
" Pete Smith for his witty and pungent observations on the American scene in his series of ""Pete Smith Specialties."""," Pete Smith for his witty and pungent observations on the American scene in his series of ""Pete Smith Specialties.""",HONORARY AWARD
 Peter O'ole, Peter O'ole,HONORARY AWARD
 Piero si, Piero si,HONORARY AWARD
 Ralph Bellamy for his unique artistry and his distinguished service to the profession of acting., Ralph Bellamy for his unique artistry and his distinguished service to the profession of acting.,HONORARY AWARD
 Rashomon - voted by the Board of Governors as the most outstanding foreign language film released in the United States during 1951., Rashomon - voted by the Board of Governors as the most outstanding foreign language film released in the United States during 1951.,HONORARY FOREIGN LANGUAGE FILM AWARD
 Republic Studio, Republic Studio,SPECIAL AWARD
