Label,Id,race_ethnicity,sexual_orientation
Elizabeth Taylor,Elizabeth Taylor,White,Straight
Elizabeth Taylor,Elizabeth Taylor,White,Straight
Elizabeth Taylor,Elizabeth Taylor,White,Straight
Elizabeth Taylor,Elizabeth Taylor,White,Straight
Elizabeth Taylor,Elizabeth Taylor,White,Straight
Elizabeth Taylor,Elizabeth Taylor,White,Straight
Elizabeth Taylor,Elizabeth Taylor,White,Straight
Ellen Burstyn,Ellen Burstyn,White,Straight
Emil Jannings,Emil Jannings,White,Bisexual
Emma Thompson,Emma Thompson,White,Straight
Ernest Borgnine,Ernest Borgnine,White,Straight
Estelle Parsons,Estelle Parsons,White,Straight
Ethan Coen,Ethan Coen,White,Straight
Ethel Barrymore,Ethel Barrymore,White,Straight
Eva Marie Saint,Eva Marie Saint,White,Straight
F. Murray Abraham,F. Murray Abraham,Middle Eastern,Straight
Fay Bainter,Fay Bainter,White,Straight
Faye Dunaway,Faye Dunaway,White,Straight
Faye Dunaway,Faye Dunaway,White,Straight
Faye Dunaway,Faye Dunaway,White,Straight
Faye Dunaway,Faye Dunaway,White,Straight
Forest Whitaker,Forest Whitaker,Black,Straight
Frances McDormand,Frances McDormand,White,Straight
Francis Ford Coppola,Francis Ford Coppola,White,Straight
Frank Borzage,Frank Borzage,White,Straight
Frank Capra,Frank Capra,White,Straight
Frank Capra,Frank Capra,White,Straight
Frank Capra,Frank Capra,White,Straight
Frank Capra,Frank Capra,White,Straight
Frank Capra,Frank Capra,White,Straight
Frank Capra,Frank Capra,White,Straight
Frank Capra,Frank Capra,White,Straight
Frank Capra,Frank Capra,White,Straight
Frank Capra,Frank Capra,White,Straight
Frank Lloyd,Frank Lloyd,White,Straight
Frank Lloyd,Frank Lloyd,White,Straight
Frank Lloyd,Frank Lloyd,White,Straight
Frank Lloyd,Frank Lloyd,White,Straight
Frank Sinatra,Frank Sinatra,White,Straight
Franklin J. Schaffner,Franklin J. Schaffner,White,Straight
Fred Zinnemann,Fred Zinnemann,White,Straight
Fred Zinnemann,Fred Zinnemann,White,Straight
Fred Zinnemann,Fred Zinnemann,White,Straight
Fred Zinnemann,Fred Zinnemann,White,Straight
Fredric March,Fredric March,White,Straight
Gale Sondergaard,Gale Sondergaard,White,Straight
Gary Cooper,Gary Cooper,White,Straight
Gary Cooper,Gary Cooper,White,Straight
Gary Cooper,Gary Cooper,White,Straight
Gary Cooper,Gary Cooper,White,Straight
Gary Cooper,Gary Cooper,White,Straight
Gary Cooper,Gary Cooper,White,Straight
Gary Cooper,Gary Cooper,White,Straight
Gary Cooper,Gary Cooper,White,Straight
Gary Cooper,Gary Cooper,White,Straight
Geena Davis,Geena Davis,White,Straight
Gene Hackman,Gene Hackman,White,Straight
Gene Hackman,Gene Hackman,White,Straight
Gene Hackman,Gene Hackman,White,Straight
Gene Hackman,Gene Hackman,White,Straight
Geoffrey Rush,Geoffrey Rush,White,Straight
George Arliss,George Arliss,White,Straight
George Burns,George Burns,White,Straight
George C. Scott,George C. Scott,White,Straight
George Chakiris,George Chakiris,White,Gay/Lesbian
George Clooney,George Clooney,White,Straight
George Cukor,George Cukor,White,Gay/Lesbian
George Kennedy,George Kennedy,White,Straight
George Roy Hill,George Roy Hill,White,Straight
George Sanders,George Sanders,White,Straight
George Stevens,George Stevens,White,Straight
George Stevens,George Stevens,White,Straight
George Stevens,George Stevens,White,Straight
George Stevens,George Stevens,White,Straight
Geraldine Page,Geraldine Page,White,Straight
Gig Young,Gig Young,White,Straight
Ginger Rogers,Ginger Rogers,White,Straight
Ginger Rogers,Ginger Rogers,White,Straight
Ginger Rogers,Ginger Rogers,White,Straight
Ginger Rogers,Ginger Rogers,White,Straight
Glenda Jackson,Glenda Jackson,White,Straight
Glenda Jackson,Glenda Jackson,White,Straight
Glenda Jackson,Glenda Jackson,White,Straight
Glenda Jackson,Glenda Jackson,White,Straight
Gloria Grahame,Gloria Grahame,White,Straight
Goldie Hawn,Goldie Hawn,White,Straight
Grace Kelly,Grace Kelly,White,Straight
Greer Garson,Greer Garson,White,Straight
Gregory Peck,Gregory Peck,White,Straight
Gwyneth Paltrow,Gwyneth Paltrow,White,Straight
Gwyneth Paltrow,Gwyneth Paltrow,White,Straight
Gwyneth Paltrow,Gwyneth Paltrow,White,Straight
Gwyneth Paltrow,Gwyneth Paltrow,White,Straight
Haing S. Ngor,Haing S. Ngor,Asian,Straight
Halle Berry,Halle Berry,Multiracial,Straight
Harold Russell,Harold Russell,White,Straight
Hattie McDaniel,Hattie McDaniel,Black,Gay/Lesbian
Heath Ledger,Heath Ledger,White,Straight
Helen Hayes,Helen Hayes,White,Straight
Helen Hayes,Helen Hayes,White,Straight
Helen Hayes,Helen Hayes,White,Straight
Helen Hayes,Helen Hayes,White,Straight
Helen Hunt,Helen Hunt,White,Straight
