Label,Id,race_ethnicity,sexual_orientation
Susan Sarandon,Susan Sarandon,White,Straight
Sydney Pollack,Sydney Pollack,White,Straight
Tatum O'Neal,Tatum O'Neal,White,Straight
Teresa Wright,Teresa Wright,White,Straight
Thomas Mitchell,Thomas Mitchell,White,Straight
Tilda Swinton,Tilda Swinton,White,Straight
Tim Robbins,Tim Robbins,White,Straight
Timothy Hutton,Timothy Hutton,White,Straight
Tom Hanks,Tom Hanks,White,Straight
Tom Hanks,Tom Hanks,White,Straight
Tom Hanks,Tom Hanks,White,Straight
Tom Hanks,Tom Hanks,White,Straight
Tom Hanks,Tom Hanks,White,Straight
Tom Hanks,Tom Hanks,White,Straight
Tom Hanks,Tom Hanks,White,Straight
Tom Hanks,Tom Hanks,White,Straight
Tom Hanks,Tom Hanks,White,Straight
Tommy Lee Jones,Tommy Lee Jones,White,Straight
Tony Richardson,Tony Richardson,White,Bisexual
Van Heflin,Van Heflin,White,Straight
Van Heflin,Van Heflin,White,Straight
Van Heflin,Van Heflin,White,Straight
Van Heflin,Van Heflin,White,Straight
Vanessa Redgrave,Vanessa Redgrave,White,Straight
Victor Fleming,Victor Fleming,White,Straight
Victor McLaglen,Victor McLaglen,White,Straight
Vincente Minnelli,Vincente Minnelli,White,Bisexual
Vivien Leigh,Vivien Leigh,White,Straight
Vivien Leigh,Vivien Leigh,White,Straight
Vivien Leigh,Vivien Leigh,White,Straight
Vivien Leigh,Vivien Leigh,White,Straight
Wallace Beery,Wallace Beery,White,Straight
Walter Brennan,Walter Brennan,White,Straight
Walter Brennan,Walter Brennan,White,Straight
Walter Brennan,Walter Brennan,White,Straight
Walter Brennan,Walter Brennan,White,Straight
Walter Brennan,Walter Brennan,White,Straight
Walter Brennan,Walter Brennan,White,Straight
Walter Brennan,Walter Brennan,White,Straight
Walter Brennan,Walter Brennan,White,Straight
Walter Brennan,Walter Brennan,White,Straight
Walter Huston,Walter Huston,White,Straight
Walter Matthau,Walter Matthau,White,Straight
Warner Baxter,Warner Baxter,White,Straight
Warren Beatty,Warren Beatty,White,Straight
Wendy Hiller,Wendy Hiller,White,Straight
Whoopi Goldberg,Whoopi Goldberg,Black,Straight
William Friedkin,William Friedkin,White,Straight
William Holden,William Holden,White,Straight
William Hurt,William Hurt,White,Straight
William Wyler,William Wyler,White,Straight
William Wyler,William Wyler,White,Straight
William Wyler,William Wyler,White,Straight
William Wyler,William Wyler,White,Straight
William Wyler,William Wyler,White,Straight
William Wyler,William Wyler,White,Straight
William Wyler,William Wyler,White,Straight
William Wyler,William Wyler,White,Straight
William Wyler,William Wyler,White,Straight
Woody Allen,Woody Allen,White,Straight
Yul Brynner,Yul Brynner,White,Straight
