year_ceremony,category,name,film,winner
1930,DIRECTING,Clarence Brown,Anna Christie;,FALSE
1930,DIRECTING,Robert Leonard,The Divorcee,FALSE
1930,DIRECTING,Ernst Lubitsch,The Love Parade,FALSE
1930,DIRECTING,Lewis Milestone,All Quiet on the Western Front,TRUE
1930,DIRECTING,King Vidor,Hallelujah,FALSE
1930,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,TRUE
1930,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,FALSE
1930,OUTSTANDING PRODUCTION,Warner Bros.,Disraeli,FALSE
1930,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Divorcee,FALSE
1930,OUTSTANDING PRODUCTION,Paramount Famous Lasky,The Love Parade,FALSE
1930,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,TRUE
1930,SOUND RECORDING,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",The Case of Sergeant Grischa,FALSE
1930,SOUND RECORDING,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",The Love Parade,FALSE
1930,SOUND RECORDING,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",Raffles,FALSE
1930,SOUND RECORDING,"(First National Studio Sound Department, George Groves, Sound Director)",Song of the Flame,FALSE
1930,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front,FALSE
1930,WRITING,Frances Marion,The Big House,TRUE
1930,WRITING,(Julian Josephson),Disraeli,FALSE
1930,WRITING,(John Meehan),The Divorcee,FALSE
1930,WRITING,(Howard Estabrook),Street of Chance,FALSE
1931,ACTOR,Lionel Barrymore,A Free Soul,TRUE
1931,ACTOR,Jackie Cooper,Skippy,FALSE
1931,ACTOR,Richard Dix,Cimarron,FALSE
1931,ACTOR,Fredric March,The Royal Family of Broadway,FALSE
1931,ACTOR,Adolphe Menjou,The Front Page,FALSE
1931,ACTRESS,Marlene Dietrich,Morocco,FALSE
1931,ACTRESS,Marie Dressler,Min and Bill,TRUE
1931,ACTRESS,Irene Dunne,Cimarron,FALSE
1931,ACTRESS,Ann Harding,Holiday,FALSE
1931,ACTRESS,Norma Shearer,A Free Soul,FALSE
1931,ART DIRECTION,Max Rée,Cimarron,TRUE
1931,ART DIRECTION,"Stephen Goosson, Ralph Hammeras",Just Imagine,FALSE
1931,ART DIRECTION,Hans Dreier,Morocco,FALSE
